16	Années 1990
17	Années 2000
19	Louis XIII
20	Louis XIV
21	Régence
22	Louis XV
23	Louis XVI
24	Directoire
26	Empire
27	Restauration
28	Louis-Philippe
29	Napoléon III
30	Années 2010
